userID,screenName
3532804813,jCar89000
3920277023,dtrumptvfan
15195038,DavidAvritt
724050768106500096,HydroElections
5950272,Cary88888888
490179072,Scrufey21
3387188439,TrussElise
3299093231,tweetpoliticsUS
2414927882,WDYL2016
536037471,DonaldTrumpshow
1849938847,Trump4Hope
28818582,jamesnews242
128334973,CyberAnonymous
726797117583417345,goodbetterbuy
3376060913,GregJeffery888
717554036510068736,EndorsementsGOP
3271255423,TeamTrumpAZ
4493736743,klansmen4trump
4149697303,trumpednews
415175014,MiriamRoseMc
2927048097,openn_world
2976237925,berserk_news
4260493217,godwin_bot
718859375146708992,iPoliticallyGQ
706617905773944832,JohnFavere
722259394063376384,realDonnews24
703036137779036160,TiNaMaRiEred
3044768595,TBackers
50691835,misshome888
2535578876,pilipenko_veron
718308094829334528,ImDonnyMcDonald
533444481,MPrestrepo2334
21216192,songbirdcd
1700243311,news_worldnews
3243261234,Chhota_Bhim
2425268995,iVoteForBest
4870992551,Murlgirl1
4011800885,wrs1260
2962671712,POLSSacramento
2571323442,HillaryTapes
3242606876,grassrootscg
725920957320159232,Hillarynews77
737670729567633409,iTrumpClub
3959778976,perriganps
733729232531021824,TrumpOMG
733726339455295488,b_singh_india
733697436061978624,jpob55
733697135158394880,theblackrose161
733652704086622208,corruptedsouls1
2651635477,mimikvato35
733705435392446465,mariafersam
733656447867867137,BugCarp
733626142545063936,coisasdeestuda1
733647125905612800,yolandaferr1234
171283210,scrilluminati
733720605321760769,Rachel199578
733723646208933890,TahmeenamMomtaz
733720953834852352,reelecttrump20
735508453880266752,reagan_dr
735792128656216065,KNOXTUH
157969309,subhani_aatish
735513711239168000,Marysmi19884124
735194925843812352,iambcheg
735614216468455427,jasaseogembel
734389993997803520,thenewsglobal
734380279733866496,Tawhid6969
734309179410681857,renae1589
733712469135396865,IsajIraida
734361997840637952,sweetangelbria
734354141720547328,Rodogo236
2725748270,shubhapallavi90
733982484560543744,WortleyAndres
734272499169538048,DonaldTrumpFor4
735637690641571840,foreigngraphics
735569938241327104,Mexican_Chico99
735205327650443264,katenelsonadami
735113724617359363,realjasmynsims
735107907130363905,yasminhart10761
735114826209492992,maguseva67919
733747839214313472,Cuck427
735261961718370304,AlAlfabet354
2724910964,mrappw2
735705536037945351,beauter_marcus
735223725352714242,dorawedner
734230361668997120,dalton_latham1
735724646318776320,GlobalHerald4
735763402736291845,tuneriescollege
733690618673811458,ChargerBtb
735674174371332096,dw17_
733693045762318336,qatar_akhbar
735860292316463104,Tolamona
735211932039426048,naijamatas
158340796,SveetLady
735217982473920514,BairaBrahim7
735218198430109696,YngJRT
733710370569883648,ToysDirectory
733708835441934336,patdidodo1
733710431626395649,DonMoneyBuckets
735783441912889345,alyssia_burt
735782034702901251,DinaDin77122350
735817808697643012,starswift7
733633129567662080,Am_De_Republic
735528630646939648,commonmuslimg
733681827542667265,TheFartchain
733710759197331456,SahinKoca3
735580557854183424,eckerty1943
734008344936075264,Emanuel2000Y
734075117572108288,jaiLeAndria
734066806139277312,RockwellIsela
735204101869477888,mxnkxsoncknsql
734029356461359105,TaunyaFlood
734031329952714753,LuzCardot
734258233393586176,phs23116
734377898140938241,Hippie_vibes_01
734383031079841792,_cecerh
734247562350190592,charlottefarl1
734307445116424193,TukekHuseyin
734126562002374656,jeususstunt
167461604,xxMichaelSexton
734387121117614084,Muhonziresyl
733859474264469505,jrest44
733859580258701313,_hahahuhu
733960356721135616,Drakefights_
733902584507969536,IshdndjdiJh
733903066596966402,KariJaime1
734270982689423362,YUSEFt129
168785640,_TechSpy_
2651808515,keunna_03
168802505,ebraco1
734213765734924289,Miss_Shyamli
734108582241783808,yosmar747
734840703717670916,1999dodgeram352
734840521269645312,Iamdanialee
734998636036259840,loganjudith4
735034353156120577,robhope11
734884488035999745,pacohantos
734886151513739264,queendoesrite
734890478055886849,hayhayboo1212
733686250075521024,ramzimerzeg
734072531771138050,faizyktk
734954304830865408,CNNHollywood
734814020553834497,bridgybanta
734542899514355712,speakinggofkaay
734494141648916481,Periskopi1
734501331650514944,PeterandHeloise
734531835162660865,K_Nagendra_S
734534424507875328,stuffed_pancake
734893405931773952,DUMP_TRUMP__
734056927219441669,HobbySabe
733660666150719488,MorrisMuriuki7
731874510362808326,rmerar689
731785031304110081,viettickglobal
192368804,METALZ_210
731554134416097280,FishstickThePug
731578469356843009,margretiet
731523143702052864,_Thoreau_
733659192012247040,IamMarv2
731566903500496896,JMAsesor_Mx
731973672903315457,copaamericabra
734813113640488960,raqi_angela
